Datetime,ms,Level(m),Temp(C)
2023-03-01 03:00:00,0,24.4,6.4
2023-03-01 03:15:00,0,24.6,6.4
2023-03-01 03:30:00,0,24.6,6.4
2023-03-01 03:45:00,0,24.4,6.4
2023-03-01 04:00:00,0,24.5,6.4
2023-03-01 04:15:00,0,24.6,6.4
2023-03-01 04:30:00,0,24.2,6.3
2023-03-01 04:45:00,0,24.3,6.3
2023-03-01 05:00:00,0,24.4,6.3
2023-03-01 05:15:00,0,24.2,6.3
2023-03-01 05:30:00,0,24.1,6.3
2023-03-01 05:45:00,0,24.1,6.3
2023-03-01 06:00:00,0,24.2,6.3
2023-03-01 06:15:00,0,24.2,6.3
2023-03-01 06:30:00,0,24.1,6.3
2023-03-01 06:45:00,0,23.9,6.2
2023-03-01 07:00:00,0,23.9,6.2
2023-03-01 07:15:00,0,24.1,6.2
2023-03-01 07:30:00,0,24.0,6.1
2023-03-01 07:45:00,0,23.9,6.1
2023-03-01 08:00:00,0,24.0,6.2
2023-03-01 08:15:00,0,24.0,6.2
2023-03-01 08:30:00,0,23.7,6.2
2023-03-01 08:45:00,0,23.8,6.1
2023-03-01 09:00:00,0,23.8,6.2
2023-03-01 09:15:00,0,23.9,6.2
2023-03-01 09:30:00,0,23.9,6.2
2023-03-01 09:45:00,0,23.8,6.2
2023-03-01 10:00:00,0,24.0,6.3
2023-03-01 10:15:00,0,24.0,6.3
2023-03-01 10:30:00,0,24.1,6.3
2023-03-01 10:45:00,0,24.2,6.3
2023-03-01 11:00:00,0,23.9,6.3
2023-03-01 11:15:00,0,24.1,6.3
2023-03-01 11:30:00,0,24.2,6.4
2023-03-01 11:45:00,0,24.2,6.4
2023-03-01 12:00:00,0,24.1,6.4
2023-03-01 12:15:00,0,24.2,6.4
2023-03-01 12:30:00,0,24.1,6.4
2023-03-01 12:45:00,0,23.9,6.4
2023-03-01 13:00:00,0,24.2,6.5
2023-03-01 13:15:00,0,24.0,6.5
2023-03-01 13:30:00,0,23.9,6.5
2023-03-01 13:45:00,0,23.8,6.5
2023-03-01 14:00:00,0,24.1,6.6
2023-03-01 14:15:00,0,23.8,6.6
2023-03-01 14:30:00,0,23.8,6.6
2023-03-01 14:45:00,0,24.1,6.7
2023-03-01 15:00:00,0,24.0,6.7
2023-03-01 15:15:00,0,24.1,6.7
2023-03-01 15:30:00,0,24.0,6.8
2023-03-01 15:45:00,0,24.2,6.8
2023-03-01 16:00:00,0,24.1,6.9
2023-03-01 16:15:00,0,24.1,6.9
2023-03-01 16:30:00,0,24.3,7.0
2023-03-01 16:45:00,0,24.4,7.0
2023-03-01 17:00:00,0,24.3,7.0
2023-03-01 17:15:00,0,24.3,7.1
2023-03-01 17:30:00,0,24.3,7.1
2023-03-01 17:45:00,0,24.4,7.1
2023-03-01 18:00:00,0,24.5,7.2
2023-03-01 18:15:00,0,24.3,7.2
2023-03-01 18:30:00,0,24.3,7.2
2023-03-01 18:45:00,0,24.2,7.2
2023-03-01 19:00:00,0,24.3,7.3
2023-03-01 19:15:00,0,24.1,7.3
2023-03-01 19:30:00,0,24.2,7.3
2023-03-01 19:45:00,0,24.1,7.3
2023-03-01 20:00:00,0,23.9,7.3
2023-03-01 20:15:00,0,23.9,7.3
2023-03-01 20:30:00,0,23.9,7.3
2023-03-01 20:45:00,0,23.9,7.3
2023-03-01 21:00:00,0,24.0,7.3
2023-03-01 21:15:00,0,24.0,7.3
2023-03-01 21:30:00,0,23.9,7.3
2023-03-01 21:45:00,0,24.0,7.3
2023-03-01 22:00:00,0,23.8,7.3
2023-03-01 22:15:00,0,23.9,7.3
2023-03-01 22:30:00,0,23.8,7.3
2023-03-01 22:45:00,0,23.7,7.2
2023-03-01 23:00:00,0,23.7,7.2
2023-03-01 23:15:00,0,23.6,7.2
2023-03-01 23:30:00,0,23.5,7.1
2023-03-01 23:45:00,0,23.7,7.1
2023-03-02 00:00:00,0,23.5,7.0
2023-03-02 00:15:00,0,23.6,7.0
2023-03-02 00:30:00,0,23.5,7.0
2023-03-02 00:45:00,0,23.5,6.9
2023-03-02 01:00:00,0,23.5,6.9
2023-03-02 01:15:00,0,23.3,6.8
2023-03-02 01:30:00,0,23.1,6.8
2023-03-02 01:45:00,0,23.2,6.8
2023-03-02 02:00:00,0,23.3,6.7
2023-03-02 02:15:00,0,23.1,6.7
2023-03-02 02:30:00,0,23.1,6.7
2023-03-02 02:45:00,0,23.0,6.7
2023-03-02 03:00:00,0,23.0,6.6
2023-03-02 03:15:00,0,23.1,6.6
2023-03-02 03:30:00,0,22.9,6.5
2023-03-02 03:45:00,0,22.8,6.5
2023-03-02 04:00:00,0,22.9,6.5
2023-03-02 04:15:00,0,22.8,6.5
2023-03-02 04:30:00,0,22.9,6.5
2023-03-02 04:45:00,0,22.7,6.4
2023-03-02 05:00:00,0,22.8,6.4
2023-03-02 05:15:00,0,22.7,6.4
2023-03-02 05:30:00,0,22.5,6.4
2023-03-02 05:45:00,0,22.6,6.4
2023-03-02 06:00:00,0,22.5,6.3
2023-03-02 06:15:00,0,22.4,6.3
2023-03-02 06:30:00,0,22.4,6.3
2023-03-02 06:45:00,0,22.6,6.3
2023-03-02 07:00:00,0,22.4,6.3
2023-03-02 07:15:00,0,22.4,6.2
2023-03-02 07:30:00,0,22.3,6.2
2023-03-02 07:45:00,0,22.2,6.2
2023-03-02 08:00:00,0,22.3,6.2
2023-03-02 08:15:00,0,22.3,6.2
2023-03-02 08:30:00,0,22.0,6.1
2023-03-02 08:45:00,0,22.3,6.2
2023-03-02 09:00:00,0,22.2,6.2
2023-03-02 09:15:00,0,22.6,6.2
2023-03-02 09:30:00,0,22.4,6.2
2023-03-02 09:45:00,0,22.4,6.2
2023-03-02 10:00:00,0,22.5,6.3
2023-03-02 10:15:00,0,22.5,6.3
2023-03-02 10:30:00,0,22.5,6.3
2023-03-02 10:45:00,0,22.4,6.4
2023-03-02 11:00:00,0,22.6,6.4
2023-03-02 11:15:00,0,22.5,6.4
2023-03-02 11:30:00,0,22.5,6.4
2023-03-02 11:45:00,0,22.6,6.4
2023-03-02 12:00:00,0,22.5,6.5
2023-03-02 12:15:00,0,22.6,6.5
2023-03-02 12:30:00,0,22.4,6.5
2023-03-02 12:45:00,0,22.4,6.5
2023-03-02 13:00:00,0,22.4,6.5
2023-03-02 13:15:00,0,22.5,6.6
2023-03-02 13:30:00,0,22.4,6.6
2023-03-02 13:45:00,0,22.5,6.6
2023-03-02 14:00:00,0,22.4,6.6
2023-03-02 14:15:00,0,22.3,6.6
2023-03-02 14:30:00,0,22.5,6.7
2023-03-02 14:45:00,0,22.5,6.7
2023-03-02 15:00:00,0,22.5,6.7
2023-03-02 15:15:00,0,22.5,6.8
2023-03-02 15:30:00,0,22.5,6.8
2023-03-02 15:45:00,0,22.5,6.8
2023-03-02 16:00:00,0,22.7,6.9
2023-03-02 16:15:00,0,22.6,6.9
2023-03-02 16:30:00,0,22.7,7.0
2023-03-02 16:45:00,0,22.6,7.0
2023-03-02 17:00:00,0,22.5,7.0
2023-03-02 17:15:00,0,22.6,7.1
2023-03-02 17:30:00,0,22.8,7.1
2023-03-02 17:45:00,0,22.6,7.1
2023-03-02 18:00:00,0,22.7,7.2
2023-03-02 18:15:00,0,22.9,7.2
2023-03-02 18:30:00,0,22.6,7.2
2023-03-02 18:45:00,0,22.7,7.2
2023-03-02 19:00:00,0,22.5,7.2
2023-03-02 19:15:00,0,22.7,7.3
2023-03-02 19:30:00,0,22.7,7.3
2023-03-02 19:45:00,0,22.6,7.3
2023-03-02 20:00:00,0,22.3,7.2
2023-03-02 20:15:00,0,22.4,7.2
2023-03-02 20:30:00,0,22.6,7.2
2023-03-02 20:45:00,0,22.5,7.1
2023-03-02 21:00:00,0,22.5,7.1
2023-03-02 21:15:00,0,22.1,7.0
2023-03-02 21:30:00,0,22.2,7.0
2023-03-02 21:45:00,0,22.4,7.0
2023-03-02 22:00:00,0,22.2,6.9
2023-03-02 22:15:00,0,22.3,6.9
2023-03-02 22:30:00,0,22.1,6.8
2023-03-02 22:45:00,0,22.1,6.8
2023-03-02 23:00:00,0,22.3,6.8
2023-03-02 23:15:00,0,22.2,6.8
2023-03-02 23:30:00,0,22.2,6.8
2023-03-02 23:45:00,0,22.1,6.7
2023-03-03 00:00:00,0,22.3,6.7
2023-03-03 00:15:00,0,22.2,6.6
2023-03-03 00:30:00,0,22.1,6.6
2023-03-03 00:45:00,0,22.1,6.6
2023-03-03 01:00:00,0,22.0,6.6
2023-03-03 01:15:00,0,22.0,6.6
2023-03-03 01:30:00,0,22.1,6.6
2023-03-03 01:45:00,0,22.0,6.5
2023-03-03 02:00:00,0,22.0,6.6
2023-03-03 02:15:00,0,22.0,6.5
2023-03-03 02:30:00,0,22.1,6.5
2023-03-03 02:45:00,0,22.1,6.5
2023-03-03 03:00:00,0,22.1,6.5
2023-03-03 03:15:00,0,22.1,6.4
2023-03-03 03:30:00,0,22.1,6.4
2023-03-03 03:45:00,0,22.0,6.5
2023-03-03 04:00:00,0,22.0,6.5
2023-03-03 04:15:00,0,22.1,6.4
2023-03-03 04:30:00,0,22.1,6.4
2023-03-03 05:00:00,0,22.1,6.4
2023-03-03 05:15:00,0,22.0,6.4
2023-03-03 05:30:00,0,22.0,6.4
2023-03-03 05:45:00,0,22.0,6.4
2023-03-03 06:15:00,0,22.0,6.4
2023-03-03 07:30:00,0,21.9,6.4
2023-03-03 08:00:00,0,22.1,6.4
2023-03-03 08:15:00,0,21.9,6.4
2023-03-03 08:30:00,0,21.9,6.4
2023-03-03 08:45:00,0,21.9,6.4
2023-03-03 09:00:00,0,21.9,6.3
2023-03-03 09:45:00,0,22.2,6.4
2023-03-03 10:00:00,0,22.1,6.4
2023-03-03 10:15:00,0,21.9,6.4
2023-03-03 10:30:00,0,21.9,6.4
2023-03-03 10:45:00,0,22.0,6.3
2023-03-03 11:00:00,0,21.9,6.3
2023-03-03 11:15:00,0,21.9,6.3
2023-03-03 11:30:00,0,22.0,6.3
2023-03-03 11:45:00,0,22.2,6.3
2023-03-03 12:00:00,0,22.1,6.3
2023-03-03 12:15:00,0,22.1,6.3
2023-03-03 12:30:00,0,22.1,6.3
2023-03-03 12:45:00,0,21.9,6.3
2023-03-03 13:00:00,0,22.1,6.3
2023-03-03 13:15:00,0,22.2,6.3
2023-03-03 13:30:00,0,22.2,6.3
2023-03-03 13:45:00,0,22.5,6.3
2023-03-03 14:00:00,0,22.4,6.3
2023-03-03 14:15:00,0,22.7,6.3
2023-03-03 14:30:00,0,22.7,6.4
2023-03-03 14:45:00,0,22.6,6.4
2023-03-03 15:00:00,0,22.6,6.4
2023-03-03 15:15:00,0,22.7,6.4
2023-03-03 15:30:00,0,23.0,6.4
2023-03-03 15:45:00,0,23.1,6.4
2023-03-03 16:00:00,0,23.1,6.4
2023-03-03 16:15:00,0,23.4,6.4
2023-03-03 16:30:00,0,23.5,6.4
2023-03-03 16:45:00,0,23.7,6.4
2023-03-03 17:00:00,0,23.9,6.3
2023-03-03 17:15:00,0,23.8,6.3
2023-03-03 17:30:00,0,24.3,6.3
2023-03-03 17:45:00,0,24.4,6.3
2023-03-03 18:00:00,0,24.6,6.3
2023-03-03 18:15:00,0,24.7,6.3
2023-03-03 18:30:00,0,25.1,6.3
2023-03-03 18:45:00,0,25.3,6.3
2023-03-03 19:00:00,0,25.6,6.3
2023-03-03 19:15:00,0,25.6,6.2
2023-03-03 19:30:00,0,25.8,6.2
2023-03-03 19:45:00,0,25.9,6.2
2023-03-03 20:00:00,0,26.2,6.2
2023-03-03 20:15:00,0,26.4,6.2
2023-03-03 20:30:00,0,26.4,6.2
2023-03-03 20:45:00,0,26.8,6.2
2023-03-03 21:00:00,0,26.8,6.2
2023-03-03 21:15:00,0,27.0,6.2
2023-03-03 21:30:00,0,26.9,6.2
2023-03-03 21:45:00,0,27.1,6.1
2023-03-03 22:00:00,0,27.1,6.1
2023-03-03 22:15:00,0,27.3,6.1
2023-03-03 22:30:00,0,27.3,6.1
2023-03-03 22:45:00,0,27.4,6.1
2023-03-03 23:00:00,0,27.2,6.1
2023-03-03 23:15:00,0,27.4,6.1
2023-03-03 23:30:00,0,27.4,6.1
2023-03-03 23:45:00,0,27.4,6.1
2023-03-04 00:00:00,0,27.7,6.1
2023-03-04 00:15:00,0,27.8,6.1
2023-03-04 00:30:00,0,27.7,6.1
2023-03-04 00:45:00,0,27.7,6.1
2023-03-04 01:00:00,0,27.6,6.0
2023-03-04 01:15:00,0,27.8,6.1
2023-03-04 01:30:00,0,27.8,6.1
2023-03-04 01:45:00,0,27.8,6.1
2023-03-04 02:00:00,0,27.7,6.1
2023-03-04 02:15:00,0,27.6,6.1
2023-03-04 02:30:00,0,27.6,6.1
2023-03-04 02:45:00,0,27.7,6.1
2023-03-04 03:00:00,0,27.6,6.1
2023-03-04 03:15:00,0,27.5,6.0
2023-03-04 03:30:00,0,27.5,6.0
2023-03-04 03:45:00,0,27.6,6.0
2023-03-04 04:00:00,0,27.5,6.0
2023-03-04 04:15:00,0,27.6,6.0
2023-03-04 04:30:00,0,27.4,6.0
2023-03-04 04:45:00,0,27.6,6.0
2023-03-04 05:00:00,0,27.6,6.0
2023-03-04 05:15:00,0,27.4,6.0
2023-03-04 05:30:00,0,27.3,6.0
2023-03-04 05:45:00,0,27.4,6.0
2023-03-04 06:00:00,0,27.3,6.0
2023-03-04 06:15:00,0,27.4,6.0
2023-03-04 06:30:00,0,27.3,6.0
2023-03-04 06:45:00,0,27.5,6.0
2023-03-04 07:00:00,0,27.4,6.0
2023-03-04 07:15:00,0,27.2,6.0
2023-03-04 07:30:00,0,27.4,6.0
2023-03-04 07:45:00,0,27.1,5.9
2023-03-04 08:00:00,0,27.1,5.9
2023-03-04 08:15:00,0,27.3,6.0
2023-03-04 08:30:00,0,27.1,6.0
2023-03-04 08:45:00,0,27.3,6.0
2023-03-04 09:00:00,0,27.4,6.0
2023-03-04 09:15:00,0,27.4,6.0
2023-03-04 09:30:00,0,27.4,6.0
2023-03-04 09:45:00,0,27.3,6.0
2023-03-04 10:00:00,0,27.5,6.1
2023-03-04 10:15:00,0,27.5,6.1
2023-03-04 10:30:00,0,27.5,6.1
2023-03-04 10:45:00,0,27.6,6.1
2023-03-04 11:00:00,0,27.6,6.1
2023-03-04 11:15:00,0,27.7,6.2
2023-03-04 11:30:00,0,27.7,6.2
2023-03-04 11:45:00,0,27.6,6.2
2023-03-04 12:00:00,0,27.5,6.2
2023-03-04 12:15:00,0,27.6,6.2
2023-03-04 12:30:00,0,27.6,6.3
2023-03-04 12:45:00,0,27.6,6.3
2023-03-04 13:00:00,0,27.7,6.3
2023-03-04 13:15:00,0,27.6,6.3
2023-03-04 13:30:00,0,27.6,6.3
2023-03-04 13:45:00,0,27.5,6.3
2023-03-04 14:00:00,0,27.6,6.3
2023-03-04 14:15:00,0,27.7,6.4
2023-03-04 14:30:00,0,27.7,6.4
2023-03-04 14:45:00,0,27.8,6.4
2023-03-04 15:00:00,0,27.6,6.4
2023-03-04 15:15:00,0,27.9,6.4
2023-03-04 15:30:00,0,27.9,6.4
2023-03-04 15:45:00,0,27.7,6.4
2023-03-04 16:00:00,0,27.5,6.4
2023-03-04 16:15:00,0,27.7,6.4
2023-03-04 16:30:00,0,27.8,6.5
2023-03-04 16:45:00,0,27.8,6.5
2023-03-04 17:00:00,0,27.7,6.5
2023-03-04 17:15:00,0,27.9,6.5
2023-03-04 17:30:00,0,27.8,6.5
2023-03-04 17:45:00,0,27.8,6.5
2023-03-04 18:00:00,0,28.0,6.5
